system_cod,location_c,location_n,BEDS,Managed_by,location_t,Location_1,Grades_tex,Grades_fin,open_date,Status_des,Primary_bu,primary_ad,X_COORDINA,Y_COORDINA,LONGITUDE,LATITUDE,Community_,Council-di,Census_tra,Borough_bl,NTA,NTA_Name,Geographic,Administra,Administ_1,communit_1,LOC_CODE
25Q154,Q154,P.S. 154 Queens,342500010154,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1930/07/01 00:00:00.000,Open,Q154,75-02 162 STREET,"1037536","204009",-73.807749999999999,40.726472999999999,"408","24","125700","4068340001",QN37,Kew Gardens Hills,"25","25",COMMUNITY SCHOOL DISTRICT 25,"DIMANGO, DANIELLE",Q154
27Q155,Q155,P.S. 155,342700010155,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1931/07/01 00:00:00.000,Open,Q155,130-02 115 AVENUE,"1036931","186750",-73.810067000000004,40.679105000000000,"410","28","17600","4116730001",QN55,South Ozone Park,"27","27",COMMUNITY SCHOOL DISTRICT 27,"AMBERT, JENNIFER",Q155
29Q156,Q156,P.S. 156 Laurelton,342900010156,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1931/07/01 00:00:00.000,Open,Q156,229-02 137 AVENUE,"1055450","184303",-73.743326999999994,40.672258999999997,"413","31","64600","4131700012",QN66,Laurelton,"29","29",COMMUNITY SCHOOL DISTRICT 29,"MITCHELL, BEVERLY",Q156
28Q157,Q157,J.H.S. 157 Stephen A. Halsey,342800010157,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,09,SE","06,07,08,09",1948/07/01 00:00:00.000,Open,Q157,63-55 102ND STREET,"1025024","206125",-73.852879000000001,40.732348000000002,"406","29","72100","4021260014",QN17,Forest Hills,"28","28",COMMUNITY SCHOOL DISTRICT 28,"SARDUY, MABEL",Q157
26Q158,Q158,M.S. 158 Marie Curie,342600010158,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1955/07/01 00:00:00.000,Open,Q158,46-35 OCEANIA STREET,"1047450","214995",-73.771878000000001,40.756562000000002,"411","19","144700","4073120001",QN46,Bayside-Bayside Hills,"26","26",COMMUNITY SCHOOL DISTRICT 26,"GIUNTA, DANIELLE",Q158
26Q159,Q159,P.S. 159,342600010159,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",1931/07/01 00:00:00.000,Open,Q159,205-01 33 AVENUE,"1044087","219922",-73.783973000000003,40.770108000000000,"411","19","109900","4060380013",QN46,Bayside-Bayside Hills,"26","26",COMMUNITY SCHOOL DISTRICT 26,"GIUNTA, DANIELLE",Q159
28Q160,Q160,P.S. 160 Walter Francis Bishop,342800010160,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06",1939/07/01 00:00:00.000,Open,Q160,109-59 INWOOD STREET,"1039803","190133",-73.799684999999997,40.688372999999999,"412","28","19600","4119420302",QN01,South Jamaica,"28","28",COMMUNITY SCHOOL DISTRICT 28,"SARDUY, MABEL",Q160
28Q161,Q161,P.S. 161 Arthur Ashe School,342800010161,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,06",2000/07/01 00:00:00.000,Open,Q161,101-33 124 STREET,"1033868","190873",-73.821079999999995,40.690438999999998,"409","28","15600","4094910001",QN54,Richmond Hill,"28","28",COMMUNITY SCHOOL DISTRICT 28,"SARDUY, MABEL",Q161
26Q162,Q162,P.S. 162 John Golden,342600010162,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1937/07/01 00:00:00.000,Open,Q162,201-02 53 AVENUE,"1046156","212020",-73.776576000000006,40.748404999999998,"411","20","140901","4074100001",QN46,Bayside-Bayside Hills,"26","26",COMMUNITY SCHOOL DISTRICT 26,"GIUNTA, DANIELLE",Q162
25Q163,Q163,P.S. 163 Flushing Heights,342500010163,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1935/07/01 00:00:00.000,Open,Q163,159-01 59 AVENUE,"1037243","209340",-73.808764999999994,40.741107000000000,"407","20","121500","4067260070",QN62,Queensboro Hill,"25","25",COMMUNITY SCHOOL DISTRICT 25,"DIMANGO, DANIELLE",Q163
