system_cod,location_c,location_n,BEDS,Managed_by,location_t,Location_1,Grades_tex,Grades_fin,open_date,Status_des,Primary_bu,primary_ad,X_COORDINA,Y_COORDINA,LONGITUDE,LATITUDE,Community_,Council-di,Census_tra,Borough_bl,NTA,NTA_Name,Geographic,Administra,Administ_1,communit_1,LOC_CODE
29Q238,Q238,I.S. 238 - Susan B. Anthony Academy,342900010238,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1972/07/01 00:00:00.000,Open,Q238,88-15 182 STREET,"1045336","199025",-73.779652999999996,40.712743000000003,"412","27","47000","4099190006",QN61,Jamaica,"29","29",COMMUNITY SCHOOL DISTRICT 29,"MITCHELL, BEVERLY",Q238
24Q239,Q239,P.S. 239,342400010239,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",2003/07/01 00:00:00.000,Open,Q239,17-15 WEIRFIELD STREET,"1010914","194113",-73.903837999999993,40.699430999999997,"405","34","55300","4035610001",QN20,Ridgewood,"24","24",COMMUNITY SCHOOL DISTRICT 24,"CHAN, MADELENE",Q239
25Q240,Q240,Veritas Academy,342500011240,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2013/07/01 00:00:00.000,Open,Q460,35-01 UNION STREET,"1032225","217995",-73.826811000000006,40.764892000000003,"407","20","116100","4050020001",QN22,Flushing,"25","25",NULL,NULL,Q240
25Q241,Q241,Queens High School for Language Studies,342500011241,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2013/07/01 00:00:00.000,Open,Q460,35-01 UNION STREET,"1032225","217995",-73.826811000000006,40.764892000000003,"407","20","116100","4050020001",QN22,Flushing,"25","25",NULL,NULL,Q241
25Q242,Q242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,342500010242,DOE,General Academic,Early Childhood,"PK,0K,01,02,03,SE","0K,01,02,03",2001/07/01 00:00:00.000,Open,Q242,29-66 137 STREET,"1030783","219763",-73.832004999999995,40.769751999999997,"407","20","88901","4043710173",QN22,Flushing,"25","25",COMMUNITY SCHOOL DISTRICT 25,"DIMANGO, DANIELLE",Q242
29Q243,Q243,Institute for Health Professions at Cambria Height,342900011243,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12",2013/07/01 00:00:00.000,Open,Q490,207- 01 116TH  AVENUE,"1054589","193965",-73.746330000000000,40.698785999999998,"413","27","53401","4110490001",QN33,Cambria Heights,"29","29",NULL,NULL,Q243
25Q244,Q244,The Active Learning Elementary School,342500010244,DOE,General Academic,Early Childhood,"PK,0K,01,02,03,SE","0K,01,02,03",2008/07/01 00:00:00.000,Open,Q244,137-20 FRANKLIN AVENUE,"1032404","214203",-73.826192000000006,40.754483000000000,"407","20","79701","4051370043",QN22,Flushing,"25","25",COMMUNITY SCHOOL DISTRICT 25,"DIMANGO, DANIELLE",Q244
29Q248,Q248,Queens Preparatory Academy,342900011248,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2005/07/01 00:00:00.000,Open,Q420,143-10 SPRINGFIELD BOULEVARD,"1051454","183115",-73.757744000000002,40.669029999999999,"412","31","33000","4130570056",QN02,Springfield Gardens North,"29","29",NULL,NULL,Q248
25Q250,Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,342500010250,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1999/07/01 00:00:00.000,Open,Q168,158-40 76 ROAD,"1037086","203178",-73.809380000000004,40.724195000000002,"408","24","125700","4068260001",QN37,Kew Gardens Hills,"25","25",COMMUNITY SCHOOL DISTRICT 25,"DIMANGO, DANIELLE",Q250
29Q251,Q251,P.S. 251 Queens,342900010251,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1973/07/01 00:00:00.000,Open,Q251,144-51 ARTHUR STREET,"1051000","181576",-73.759395999999995,40.664808999999998,"413","31","32000","4133310001",QN03,Springfield Gardens South-Brookville,"29","29",COMMUNITY SCHOOL DISTRICT 29,"MITCHELL, BEVERLY",Q251
