"BUILDING 
CODE",SCHOOL NAME,TYPE,Borough,NUMBER,boro_code,ADDRESS,BOROUGH,STATE,ZIP
K164,Caesar Rodney,PS,K,164,K164,4211 14 AVENUE,BROOKLYN,NY,11219
M165,Robert E. Simon,PS,M,165,M165,234 WEST 109 STREET,MANHATTAN,NY,10025
K165,Ida Posner,PS,K,165,K165,76 LOTT AVENUE,BROOKLYN,NY,11212
M166,"The Richard Rodgers 
School of The Arts and Technology",PS,M,166,M166,132 WEST 89 STREET,MANHATTAN,NY,10024
Q166,Henry Gradstein,PS,Q,166,Q166,33-09 35 AVENUE,QUEENS,NY,11106
M167,Robert F. Wagner,MS,M,167,M167,220 EAST 76 STREET,MANHATTAN,NY,10021
Q686,"Metropolitan 
Expeditionary Learning School",MS/HS,Q,167,Q167,91-30 METROPOLITAN AVENUE,QUEENS,NY,11375
M169,Robert F. Kennedy,PS,M,169,M169,110 EAST 88 STREET,MANHATTAN,NY,10128
K169,Sunset Park,PS,K,169,K169,4305 7 AVENUE,BROOKLYN,NY,11232
Q169,Bay Terrace,PS,Q,169,Q169,18-25 212 STREET,QUEENS,NY,11360
M171,Patrick Henry,PS,M,171,M171,19 EAST 103 STREET,MANHATTAN,NY,10029
K171,Abraham Lincoln,IS,K,171,K171,528 RIDGEWOOD AVENUE,BROOKLYN,NY,11208
Q172,"Irwin Altman Middle 
School 172",,Q,172,Q172,81-14 257 STREET,QUEENS,NY,11004
K172,"Beacon School of 
Excellence",PS,K,172,K172,825 4 AVENUE,BROOKLYN,NY,11232
Q174,William Sidney Mount,PS,Q,174,Q174,65-10 DIETERLE CRESCENT,QUEENS,NY,11374
M175,Henry H Garnet,PS,M,175,M175,175 WEST 134 STREET,MANHATTAN,NY,10030
X175,City Island,PS,X,175,X175,200 CITY ISLAND AVENUE,BRONX,NY,10464
Q175,The Lynn Gross Discovery School,PS,Q,175,Q175,64-35 102 STREET,QUEENS,NY,11374
X178,Truman High School,PS,X,176,X176,850 BAYCHESTER AVENUE,BRONX,NY,10475
K176,Ovington,PS,K,176,K176,1225 69 STREET,BROOKLYN,NY,11219
Q176,Cambria Heights,HS,Q,176,Q176,120-45 235 STREET,QUEENS,NY,11411
X862,Harlem Renaissance High School,IS,X,177,X177,1260 FRANKLIN AVENUE,BRONX,NY,10456
M178,"Professor Juan Bosch 
Public School",PS,M,178,M178,12-18 ELLWOOD STREET,MANHATTAN,NY,10040
X178,Dr. Selman Waksman,PS,X,178,X178,850 BAYCHESTER AVENUE,BRONX,NY,10475
K178,Saint Clair Mckelway,PS,K,178,K178,2163 DEAN STREET,BROOKLYN,NY,11233
K179,Kensington,PS,K,179,K179,202 AVENUE C,BROOKLYN,NY,11218
M180,Hugo Newman,PS,M,180,M180,370 WEST 120 STREET,MANHATTAN,NY,10027
K180,The SEEALL Academy,IS,K,180,K180,5601 16 AVENUE,BROOKLYN,NY,11204
Q181,"Brook""eld",PS,Q,181,Q181,148-15 230 STREET,QUEENS,NY,11413
M137,Shuang Wen,PS,M,184,M184,327 CHERRY STREET,MANHATTAN,NY,10002
K184,Newport,PS,K,184,K184,273 NEWPORT STREET,BROOKLYN,NY,11212
M185,"The Locke School of Arts and Engineering (prev The Early Childhood Discovery and Design Magnet 
School)",PS,M,185,M185,20 WEST 112 STREET,MANHATTAN,NY,10026
X716,Bronx Lighthouse Charter School,Charter,X,185,X185,1001 INTERVALE AVENUE,BRONX,NY,10459
K185,Walter Kassenbrock,PS,K,185,K185,8601 RIDGE BOULEVARD,BROOKLYN,NY,11209
X136,P186X @140,PS/MS,X,186,X186,750 JENNINGS STREET,BRONX,NY,10459
X136,Walter Damrosch School,P (District 75),X,186,X186,750 Jennings Street,Bronx,NY,10459
K186,Dr. Irving A Gladstone,PS,K,186,K186,7601 19 AVENUE,BROOKLYN,NY,11214
Q186,Castlewood,PS,Q,186,Q186,252-12 72 AVENUE,QUEENS,NY,11426
M187,Hudson Cli!s,PS/IS,M,187,M187,349 CABRINI BOULEVARD,MANHATTAN,NY,10040
K486,"The Christa McAuli!e 
School",IS,K,187,K187,1171 65 STREET,BROOKLYN,NY,11219
,PS 188x@HS790x,PS,X,188,X188,730 Concourse Village West,Bronx,NY,10451
X034,,PS,X,188,X188,770 GROTE STREET,BRONX,NY,10460
K188,Michael E. Berdy,PS,K,188,K188,3314 NEPTUNE AVENUE,BROOKLYN,NY,11224
M189,,PS,M,189,M189,2580 AMSTERDAM AVENUE,MANHATTAN,NY,10040
X189,Cornerstone Academy for Social Action,PS,X,189,X189,3441 STEENWICK AVENUE,BRONX,NY,10475
K189,The Bilingual Center,PS,K,189,K189,1100 EAST NEW YORK AVENUE,BROOKLYN,NY,11212
Q190,Russell Sage,MS,Q,190,Q190,68-17 AUSTIN STREET,QUEENS,NY,11375
M342,"Riverside School for 
Makers and Artists (PS 191)",PS,M,191,M191,300 W 61st St,MANHATTAN,NY,10023
M191,Museum Magnet School - Historic Record MOVED,PS,M,191,M191,210 West 61 Street,NYC,NY,10023
K192,The Magnet School for Math and Science Inquiry,PS,K,192,K192,4715 18 AVENUE,BROOKLYN,NY,11204
Q193,Alfred J. Kennedy,PS,Q,193,Q193,152-20 11 AVENUE,QUEENS,NY,11357
M194,Countee Cullen,PS,M,194,M194,244 WEST 144 STREET,MANHATTAN,NY,10030
Q194,William Carr,JHS,Q,194,Q194,154-60 17 AVENUE,QUEENS,NY,11357
Q195,William Haberle,PS,Q,195,Q195,253-50 149 AVENUE,QUEENS,NY,11422
Q196,Grand Central Parkway,PS,Q,196,Q196,71-25 113 STREET,QUEENS,NY,11375
M197,John B. Russwurm,PS,M,197,M197,2230 5 AVENUE,MANHATTAN,NY,10037
K197,"The Kings Highway 
Academy",PS,K,197,K197,1599 EAST 22 STREET,BROOKLYN,NY,11210
M198,Isador E. Ida Straus,PS,M,198,M198,1700 THIRD AVENUE,MANHATTAN,NY,10128
M199,Jessie Isador Straus,PS,M,199,M199,270 WEST 70 STREET,MANHATTAN,NY,10023
Q199,Maurice A. Fitzgerald,PS,Q,199,Q199,39-20 48 AVENUE,QUEENS,NY,11104
K199,Frederick Wachtel,PS,K,199,K199,1100 ELM AVENUE,BROOKLYN,NY,11230
X650,New Visions Charter High School for Advanced Math and Science II,HS,X,202,X202,900 TINTON AVENUE,BRONX,NY,10456
K202,Ernest S. Jenkyns,PS/MS,K,202,K202,982 HEGEMAN AVENUE,BROOKLYN,NY,11208
Q202,Robert H. Goddard,MS,Q,202,Q202,138-30 LAFAYETTE STREET,QUEENS,NY,11417
Q204,Oliver W. Holmes,IS,Q,204,Q204,36-41 28 STREET,QUEENS,NY,11106
Q205,Alexander Graham Bell,PS,Q,205,Q205,75-25 BELL BOULEVARD,QUEENS,NY,11364
M206,Jose Celso Barbosa,PS,M,206,M206,508 EAST 120 STREET,MANHATTAN,NY,10035
K206,Joseph F Lamb,PS,K,206,K206,2200 GRAVESEND NECK ROAD,BROOKLYN,NY,11229
Q206,"The Horace Harding 
School",PS,Q,206,Q206,61-02 98 STREET,QUEENS,NY,11374
X819,,PS,X,207,X207,3030 GODWIN TERRACE,BRONX,NY,10463
K207,Elizabeth G. Leary,PS,K,207,K207,4011 FILLMORE AVENUE,BROOKLYN,NY,11234
M208,,PS,M,208,M208,21 WEST 111 STREET,MANHATTAN,NY,10026
K208,Elsa Ebeling,PS,K,208,K208,4801 AVENUE D,BROOKLYN,NY,11203
Q209,Clearview Gardens,PS,Q,209,Q209,16-10 UTOPIA PARKWAY,QUEENS,NY,11357
M093,"Twenty-""rst Century 
Academy for Community Leadership",PS/IS,M,210,M210,501-503 WEST 152 STREET,MANHATTAN,NY,10031
Q210,Elizabeth Blackwell,MS,Q,210,Q210,93-11 101 AVENUE,QUEENS,NY,11416
X193,,CS,X,211,X211,1919 PROSPECT AVENUE,BRONX,NY,10457
,"Elm Tree Elementary 
School",PS,Q,211,Q211,86-37 53RD AVENUE,QUEENS,NY,11373
M017,Midtown West,PS,M,212,M212,328 WEST 48 STREET,MANHATTAN,NY,10036
Q213,The Carl Ullman School,PS,Q,213,Q213,231-02 67 AVENUE,QUEENS,NY,11364
K214,Michael Friedsam,PS,K,214,K214,2944 PITKIN AVENUE,BROOKLYN,NY,11208
K216,Arturo Toscanini,PS,K,216,K216,350 AVENUE X,BROOKLYN,NY,11223
M271,Roosevelt Island,PS,M,217,M217,645 MAIN STREET,MANHATTAN,NY,10044
X116,School of Performing Arts,IS,X,217,X217,977 FOX STREET,BRONX,NY,10459
K217,Colonel David Marcus School,PS,K,217,K217,1100 NEWKIRK AVENUE,BROOKLYN,NY,11230
Q217,Robert A. Van Wyck,JHS,Q,217,Q217,85-05 144 STREET,QUEENS,NY,11435
X235,Rafael Hernandez Dual Language Magnet School,PS/IS,X,218,X218,1220 GERARD AVENUE,BRONX,NY,10452
K218,James P. Sinnott,JHS,K,218,K218,370 FOUNTAIN AVENUE,BROOKLYN,NY,11208
Q219,Paul Klapper,PS,Q,219,Q219,144-39 GRAVETT ROAD,QUEENS,NY,11367
Q220,Edward Mandel,PS,Q,220,Q220,62-10 108 STREET,QUEENS,NY,11375
K221,Toussaint L'Ouverture,PS,K,221,K221,791 EMPIRE BOULEVARD,BROOKLYN,NY,11213
Q221,The North Hills School,PS,Q,221,Q221,57-40 MARATHON PARKWAY,QUEENS,NY,11362
K223,The Montauk,HS,K,223,K223,4200 16 AVENUE,BROOKLYN,NY,11204
Q205,PS 224@205,P (District 75),Q,224,Q224,75-25 BELL BOULEVARD,Queens,NY,11364
Q186,PS 224@186,P (District 75),Q,224,Q224,252-12 72 Avenue,Queens,NY,11426
M480,Ella Baker School,,M,225,M225,317 EAST 67 STREET,MANHATTAN,NY,10065
X137,Theatre Arts Production Company School (TAPCo),,X,225,X225,2225 WEBSTER AVENUE,BRONX,NY,10457
X826,,PS,X,226,X226,1950 SEDGWICK AVENUE,BRONX,NY,10453
Q226,Virgil I. Grissom,MS,Q,226,Q226,121-10 ROCKAWAY BOULEVARD,QUEENS,NY,11420
X410,Bronx Collegiate Academy,HS,X,227,X227,240 EAST 172 STREET,BRONX,NY,10457
Q227,Louis Armstrong,IS,Q,227,Q227,32-02 JUNCTION BOULEVARD,QUEENS,NY,11369
K228,David A. Boody,IS,K,228,K228,228 AVENUE S,BROOKLYN,NY,11223
Q228,Early Childhood Magnet School of the Arts,PS,Q,228,Q228,32-63 93 STREET,QUEENS,NY,11369
X229,Roland Patterson,IS,X,229,X229,"275 HARLEM RIVER PARK 
BRIDGE",BRONX,NY,10453
Q229,Emanuel Kaplan,PS,Q,229,Q229,67-25 51 ROAD,QUEENS,NY,11377
K230,Doris L. Cohen,PS,K,230,K230,1 ALBEMARLE ROAD,BROOKLYN,NY,11218
Q230,,IS,Q,230,Q230,73-10 34 AVENUE,"JACKSON 
HEIGHTS",NY,11372
K180,PS 231@180,PS,K,231,K231,5601 16 AVENUE,BROOKLYN,NY,11223
Q232,Lindenwood,PS,Q,232,Q232,153-23 83 STREET,QUEENS,NY,11414
Q232,Lindenwood,PS,Q,232,Q232,153-23 83 STREET,QUEENS,NY,11414
XAGV,"Family Life Academy 
Charter School II",Charter,X,233,X233,296 EAST 140 STREET,BRONX,NY,10454
K233,Langston Hughes - PS 233,PS,K,233,K233,9301 AVENUE B,BROOKLYN,NY,11236
,P233Q@686,P (District 75),Q,233,Q233,91-30 Metropolitan Ave,Forest Hills,NY,11375
Q875,P233Q@875,P (District 75),Q,233,Q233,114-43 142nd Street,Jamaica,NY,11436
,P233Q@42,P (District 75),Q,233,Q233,488 Beach 66th St,Arverne,NY,11692
K235,"Janice Marie Knight 
School",PS,K,235,K235,525 Lenox Road,Brooklyn,NY,11203
Q455,International High School for Health Sciences,HS,Q,236,Q236,48-01 90 STREET,QUEENS,NY,11373
X143,"The Marie Curie School for Medicine, Nursing, and Health Professions",HS,X,237,X237,120 WEST 231 STREET,BRONX,NY,10463
Q239,Ramon Suarez School,PS,Q,239,Q239,17-15 WEIRFIELD STREET,QUEENS,NY,11385
K240,Magnet School of STEM/ Andries Hudde,,K,240,K240,2500 NOSTRAND AVENUE,BROOKLYN,NY,11210
K241,Emma L. Johnston,PS,K,241,K241,976 PRESIDENT STREET,BROOKLYN,NY,11225
M144,Future Leaders Institute Charter School,Charter,M,242,M242,134 WEST 122 STREET,MANHATTAN,NY,10027
X423,Mott Hall V,HS,X,242,X242,1551 EAST 172ND STREET,BRONX,NY,10472
X143,"The New School for 
Leadership and Journalism",MS,X,244,X244,120 WEST 231 STREET,BRONX,NY,10463
Q244,"The Active Learning 
Elementary School",PS,Q,244,Q244,137-20 FRANKLIN AVENUE,QUEENS,NY,11355
M044,The Computer School,MS,M,245,M245,100 WEST 77 STREET,MANHATTAN,NY,10024
K246,Walt Whitman,MS,K,246,K246,72 VERONICA PLACE,BROOKLYN,NY,11226
K249,The Caton,PS,K,249,K249,18 MARLBOROUGH ROAD,BROOKLYN,NY,11226
K250,George H. Lindsay,PS,K,250,K250,108 MONTROSE AVENUE,BROOKLYN,NY,11206
K251,Paerdegat,PS,K,251,K251,1037 EAST 54 STREET,BROOKLYN,NY,11234
Q251,,PS,Q,251,Q251,144-51 ARTHUR STREET,QUEENS,NY,11413
Q253,,PS,Q,253,Q253,1307 CENTRAL AVENUE,QUEENS,NY,11691
K254,Dag Hammarskjold,PS,K,254,K254,1801 AVENUE Y,BROOKLYN,NY,11235
Q254,The Rosa Parks School,PS,Q,254,Q254,84-40 101 STREET,QUEENS,NY,11418
Q168,@ J.H. 168 (Parsons Ed. Complex)- D75 MAIN SITE,PS,Q,255,Q255,158-40 76 ROAD,QUEENS,NY,11366
,@Townsend Harris High School,P (District 75),Q,255,Q255,149-11 Melbourne Ave.,Flushing,NY,11367
,@ P.S 007Q- D75 Satellite Site,PS,Q,255,Q255,80-55 Cornish Ave.,Elmhurst,NY,11373
,@ 151Q - D75 SATELLITE SITE,P (District 75),,255,255,50-05 31st Avenue,Woodside,NY,11377
L001,,PS,,256,256,525 CONVENT ROAD,SYOSSET,NY,11791
K257,John F. Hylan,PS,K,257,K257,60 COOK STREET,BROOKLYN,NY,11206
XAFJ,Tech International Charter School,Charter,X,258,X258,3120 Corlear Avenue,Bronx,NY,10463
Q204,Energy Tech High School,HS,Q,258,Q258,36-41 28 STREET,QUEENS,NY,11106
X655,"H.E.R.O. High (Health, 
Education, and Research Occupations High School)",HS,X,259,X259,455 SOUTHERN BLVD,BRONX,NY,10455
K259,William Mckinley,JHS,K,259,K259,7305 FT HAMILTON PARKWAY,BROOKLYN,NY,11228
K261,Philip Livingston,PS,K,261,K261,314 PACIFIC STREET,BROOKLYN,NY,11201
K262,El Hajj Malik El Shabazz Elementary School,PS,K,262,K262,500 MACON STREET,BROOKLYN,NY,11233
Q189,Flushing International High School,HS,Q,263,Q263,144-80 BARCLAY AVENUE,QUEENS,NY,11355
X425,Bronx Lab School,HS,X,265,X265,800 EAST GUN HILL ROAD,BRONX,NY,10467
K902,Park Place Community Middle School,MS,K,266,K266,62 PARK PLACE,BROOKLYN,NY,11217
Q266,,PS/IS,Q,266,Q266,"74-10 COMMONWEALTH 
BOULEVARD",QUEENS,NY,11426
Q268,,PS/IS,Q,268,Q268,92-07 175 STREET,QUEENS,NY,11433
X362,Academy for Scholarship and Entrepreneurship: A College Board School,HS,X,270,X270,921 EAST 228TH STREET,BRONX,NY,10466
Q270,The Gordon Parks School,PS,Q,270,Q270,233-15 MERRICK BOULEVARD,QUEENS,NY,11422
X057,"Frederick Douglass 
Academy V. Middle School",MS,X,273,X273,2111 CROTONA AVENUE,BRONX,NY,10457
M276,Battery Park City School,PS/MS,M,276,M276,55 BATTERY PLACE,MANHATTAN,NY,10280
K276,Louis Marshall,PS,K,276,K276,1070 EAST 83 STREET,BROOKLYN,NY,11236
X027,,PS,X,277,X277,519 ST ANNS AVENUE,BRONX,NY,10455
Q404,"The Riverview School 
277Q",PS,Q,277,Q277,1-50 51ST AVENUE,QUEENS,NY,11101
Q311,The Riverview School @ Q311,P (District 75),Q,277,Q277,98-11 44TH AVENUE,Queens,NY,11368
,277Q @ 485,P (District 75),Q,277,Q277,,Queens,NY,
M918,Paula Hedbavny School,PS/MS,M,278,M278,421 W 219TH ST,MANHATTAN,NY,10034
K278,Marine Park,IS,K,278,K278,1925 STUART STREET,BROOKLYN,NY,11229
K279,Herman Schreiber,PS,K,279,K279,1070 EAST 104 STREET,BROOKLYN,NY,11236
Q280,,PS,Q,280,Q280,34-20 94TH STREET,QUEENS,NY,11372
K281,Joseph B Cavallaro,IS,K,281,K281,8787 24 AVENUE,BROOKLYN,NY,11214
Q237,"East-West School of 
International Studies",IS,Q,281,Q281,46-21 COLDEN STREET,QUEENS,NY,11355
K282,Park Slope,PS,K,282,K282,180 6 AVENUE,BROOKLYN,NY,11217
K284,"The Gregory Jacko Jackson School of Sports, Art, and Technology",PS,K,284,K284,213 OSBORN STREET,BROOKLYN,NY,11212
M911,Harlem Renaissance High School,HS,M,285,M285,22 EAST 128 STREET,MANHATTAN,NY,10035
Q025,"World Journalism 
Preparatory: A College Board School",HS,Q,285,Q285,34-65 192 STREET,QUEENS,NY,11358
M043,Urban Assembly Academy for Future Leaders,IS,M,286,M286,509 WEST 129 STREET,MANHATTAN,NY,10027
X415,Collegiate Institute for Math and Science,HS,X,288,X288,925 ASTOR AVENUE,BRONX,NY,10469
Q290,"A.C.E. Academy for 
Scholars at the Geraldine Ferraro Campus",PS,Q,290,Q290,55-20 METROPOLITAN AVENUE,QUEENS,NY,11385
Q404,Hunters Point Community Middle School,,Q,291,Q291,1-50 51ST AVENUE,QUEENS,NY,11101
K292,Margaret S. Douglas,HS,K,292,K292,301 VERMONT STREET,BROOKLYN,NY,11207
X405,"Renaissance High School for Musical Theater & 
Technology",HS,X,293,X293,3000 EAST TREMONT AVENUE,BRONX,NY,10461
X064,The Walton Avenue School,,X,294,X294,1425 WALTON AVENUE,BRONX,NY,10452
K845,,PS,K,295,K295,330 18 STREET,BROOKLYN,NY,11215
M868,M. S. 297 (75 Morton),MS,M,297,M297,75 Morton Street,New York,NY,10014
K297,Abraham Stockton,PS,K,297,K297,700 PARK AVENUE,BROOKLYN,NY,11206
K298,Dr. Betty Shabazz,PS,K,298,K298,85 WATKINS STREET,BROOKLYN,NY,11212
X415,Astor Collegiate Academy,HS,X,299,X299,925 ASTOR AVENUE,BRONX,NY,10469
Q735,Bard High School Early College Queens,HS,Q,299,Q299,30-20 THOMSON AVENUE,QUEENS,NY,11101
Q017,The 30th Avenue School (G&T Citywide),,Q,300,Q300,28-37 29 STREET,QUEENS,NY,11102
X052,Luisa Dessus Cruz,MS,X,302,X302,681 KELLY STREET,BRONX,NY,10455
K303,Herbert S. Eisenberg,IS,K,303,K303,501 WEST AVENUE,BROOKLYN,NY,11224
Q003,"The Academy for 
Excellence through the Arts",PS,Q,303,Q303,108-55 69 AVENUE,QUEENS,NY,11375
Q245,Learners and Leaders,PS,Q,305,Q305,378 SENECA AVENUE,QUEENS,NY,11385
X306,,PS,X,306,X306,40 WEST TREMONT AVENUE,BRONX,NY,10453
K306,Ethan Allen,PS,K,306,K306,970 VERMONT STREET,BROOKLYN,NY,11207
K307,Daniel Hale Williams,PS,K,307,K307,209 YORK STREET,BROOKLYN,NY,11201
Q260,Pioneer Academy,PS,Q,307,Q307,40-20 100TH STREET,QUEENS,NY,11368
K308,Clara Cardwell,PS/IS,K,308,K308,616 QUINCY STREET,BROOKLYN,NY,11221
Q202,Robert H. Goddard High School of Communication Arts and Technology,HS,Q,308,Q308,138-30 LAFAYETTE STREET,QUEENS,NY,11417
K309,The George E. Wibecan Preparatory Academy,PS,K,309,K309,794 MONROE STREET,BROOKLYN,NY,11221
K310,The School For Future Leaders,PS,K,310,K310,942 62ND STREET,BROOKLYN,NY,11219
Q470,"Queens Collegiate: A 
College Board School",,Q,310,Q310,167-01 GOTHIC DRIVE,JAMAICA,NY,11432
X064,Lucero Elementary School,PS,X,311,X311,1425 WALTON AVENUE,BRONX,NY,10452
K190,Essence School,IS,K,311,K311,590 SHEFFIELD AVENUE,BROOKLYN,NY,11207
Q311,Corona Arts and Sciences Academy,,Q,311,Q311,45-10 94TH STREET,QUEENS,NY,11373
K312,Bergen Beach,PS,K,312,K312,7103 AVENUE T,BROOKLYN,NY,11234
M176,Muscota,PS,M,314,M314,4862 BROADWAY,MANHATTAN,NY,10034
X050,Fairmont Neighborhood School,,X,314,X314,1550 VYSE AVENUE,BRONX,NY,10460
M061,"The East Village 
Community School (EVCS)",,M,315,M315,610 EAST 12 STREET,MANHATTAN,NY,10009
K316,Elijah Stroud,PS,K,316,K316,750 CLASSON AVENUE,BROOKLYN,NY,11238
M371,"Thurgood Marshall 
Academy Lower School",PS,M,318,M318,276 WEST 151ST STREET,MANHATTAN,NY,10039
K318,Eugenio Maria De Hostos,IS,K,318,K318,101 WALTON STREET,BROOKLYN,NY,11206
X963,Crotona Academy High School,HS,X,321,X321,639 ST. ANNS AVENUE,BRONX,NY,10455
QARY,Growing Up Green Charter School,Charter,Q,321,Q321,39-37 28th Street,Long Island City,NY,11101
,Growing Up Green Middle School,MS,Q,321,Q321,36-49 11th St,Long Island City,NY,11101
K321,William Penn,PS,K,321,K321,180 7 AVENUE,BROOKLYN,NY,11215
M218,Middle School 322,MS,M,322,M322,4600 BROADWAY,MANHATTAN,NY,10040
X022,Bronx Writing Academy,MS,X,323,X323,270 EAST 167 STREET,BRONX,NY,10456
K263,,PS/IS,K,323,K323,210 CHESTER STREET,BROOKLYN,NY,11212
Q180,Scholars' Academy,MS/HS,Q,323,Q323,320 BEACH 104TH STREET,QUEENS,NY,11694
X145,Urban Science Academy,MS,X,325,X325,1000 TELLER AVENUE,BRONX,NY,10456
X240,Comprehensive Model School Project M.S. 327,MS/HS,X,327,X327,1501 JEROME AVENUE,BRONX,NY,10452
M164,"Manhattan Middle School for Scienti""c Inquiry",MS,M,328,M328,401 WEST 164 STREET,MANHATTAN,NY,10032
M185,"Harlem Link Charter 
School",,M,329,M329,20 WEST 112 STREET,MANHATTAN,NY,10026
X410,DreamYard Preparatory School,HS,X,329,X329,240 EAST 172 STREET,BRONX,NY,10457
K329,Surfside,PS,K,329,K329,2929 WEST 30 STREET,BROOKLYN,NY,11224
Q329,East Elmhurst Community School,,Q,329,Q329,26-25 97TH STREET,QUEENS,NY,11369
M188,Girls Preparatory Charter School of New York,Charter,M,330,M330,442 EAST HOUSTON STREET,MANHATTAN,NY,10002
X306,The Bronx School of Young Leaders,MS,X,331,X331,40 WEST TREMONT AVENUE,BRONX,NY,10453
M118,Manhattan School for Children,PS,M,333,M333,154 WEST 93 STREET,MANHATTAN,NY,10025
X060,Longwood Academy of Discovery,PS,X,333,X333,888 REV J A POLITE AVE,BRONX,NY,10459
Q198,Goldie Maple Academy,PS/MS,Q,333,Q333,3-65 BEACH 56 STREET,QUEENS,NY,11692
M045,Harlem Village Academy Leadership Charter School,,M,335,M335,2351 1ST AVENUE,MANHATTAN,NY,10035
X060,The Academy of the Arts,,X,335,X335,888 REV J A POLITE AVE,BRONX,NY,10459
M501,Harlem Renaissance,Charter,M,341,M341,2005 MADISON AVENUE,MANHATTAN,NY,10035
M860,The Peck Slip School,PS,M,343,M343,52 CHAMBERS STREET,MANHATTAN,NY,10007
K346,Abe Stark,PS,K,346,K346,1400 PENNSYLVANIA AVENUE,BROOKLYN,NY,11239
M047,The 47 American Sign Language & English Lower School,PS,M,347,M347,225 EAST 23 STREET,MANHATTAN,NY,10010
M173,Harbor Heights,MS,M,349,M349,"306 FORT WASHINGTON 
AVENUE",MANHATTAN,NY,10033
,The Queens School for Leadership and Excellence,PS,Q,349,Q349,88-08 164th Street,Jamaica,NY,11432
X440,Bronx Collaborative High School,HS,X,351,X351,100 WEST MOSHOLU PARKWAY SOUTH,BRONX,NY,10468
K056,"The Urban Assembly 
Unison School",PS,K,351,K351,170 GATES AVENUE,BROOKLYN,NY,11238
X834,The Vida Bogart School for All Children,PS,X,352,X352,1330 BRISTOW STREET,BRONX,NY,10459
Q030,,PS,Q,354,Q354,126-10 BEDELL STREET,QUEENS,NY,11434
X156,"Concourse Village 
Elementary School",PS,X,359,X359,750 CONCOURSE VILLAGE WEST,BRONX,NY,10451
QABE,"Academy of the City 
Charter School",CS,Q,359,Q359,31-29 60 STREET,QUEENS,NY,11377
K243,Launch Expeditionary Learning Charter School,Charter,K,360,K360,1580 DEAN STREET,BROOKLYN,NY,11213
Q892,New choice ES at Q892,PS,Q,360,Q360,199-10 112 AVENUE,QUEENS,NY,11412
M061,The Children's Workshop School,PS,M,361,M361,610 EAST 12 STREET,MANHATTAN,NY,10009
X285,The Highbridge Green School,IS,X,361,X361,200 West 167th Street,BRONX,NY,10452
M125,"Columbia Secondary 
School",PS,M,362,M362,425 WEST 123 STREET,MANHATTAN,NY,10027
M063,Neighborhood School,PS,M,363,M363,121 EAST 3 STREET,MANHATTAN,NY,10009
X115,"ACADEMY FOR PERSONAL LEADERSHIP AND 
EXCELLENCE",PS,X,363,X363,120 EAST 184 STREET,BRONX,NY,10468
M064,The Earth School,PS,M,364,M364,600 East 6 Street,Manhattan,NY,10009
X082,Academy for Language and Technology,HS,X,365,X365,1700 MACOMBS ROAD,BRONX,NY,10453
X192,Urban Assembly Academy of Civic Engagement,MS,X,366,X366,650 HOLLYWOOD AVENUE,BRONX,NY,10465
K366,The Science and Medicine Middle School,MS,K,366,K366,965 EAST 107TH STREET,BROOKLYN,NY,11236
M153,Hamilton Heights School,PS,M,368,M368,1750 AMSTERDAM AVENUE,MANHATTAN,NY,10031
K293,PS 368 @PS293K - District 75 Star Academy,P (District 75),K,368,K368,284 Baltic Street,BROOKLYN,NY,11201
K033,I033K,P (District 75),K,368,K368,70 TOMPKINS AVENUE,BROOKLYN,NY,11206
KBBY,@ Brooklyn Children Ctr.,P (District 75),K,368,K368,1819 Bergen Street,Brooklyn,NY,11233
X040,Young Leaders Elementary School,PS,X,369,X369,468 EAST 140 STREET,BRONX,NY,10454
K317,"Cory L. Cox School @ 
PS133",PS,K,369,K369,610 Baltic St,BROOKLYN,NY,11217
,@ Main Site,P (District 75),K,369,K369,383 State Street,Brooklyn,NY,11217
K370,The Jim Thorpe School,PS,K,370,K370,3000 WEST 1 STREET,BROOKLYN,NY,11224
K371,Lillian L. Rashkis,PS,K,371,K371,355 37 STREET,BROOKLYN,NY,11232
K834,The Children's School,PS,K,372,K372,512 CARROLL STREET,BROOKLYN,NY,11215
R040,Robert Randall/ 373@PS40,PS,R,373,R373,91 henderson avenue,STATEN ISLAND,NY,10301
R373,,PS,R,373,R373,77 Marsh Avenue,Staten Island,NY,10314
K148,Brooklyn Transition Center,PS,K,373,K373,185 ELLERY STREET,BROOKLYN,NY,11206
M615,NYC iSchool,HS,M,376,M376,131 AVENUE OF THE AMERICAS,MANHATTAN,NY,10013
K376,,PS,K,376,K376,194 HARMAN STREET,BROOKLYN,NY,11237
K377,Alejandrina B. De Gautier,PS,K,377,K377,200 WOODBINE STREET,BROOKLYN,NY,11221
M025,School for Global Leaders,MS,M,378,M378,145 STANTON STREET,MANHATTAN,NY,10002
X600,Bronx Haven High School,HS,X,381,X381,333 EAST 151 STREET,BRONX,NY,10451
,DREAM Charter School,PS/MS,M,382,M382,1991 Second Avenue,NEW YORK,NY,10029
K465,"Academy for College 
Preparation and Career Exploration: A College Board School",MS/HS,K,382,K382,911 FLATBUSH AVENUE,BROOKLYN,NY,11226
K383,Philippa Schuyler,JHS,K,383,K383,1300 GREENE AVENUE,BROOKLYN,NY,11237
K384,Frances E. Carter,PS/IS,K,384,K384,242 COOPER STREET,BROOKLYN,NY,11207
X156,Performance School,Charter,X,385,X385,750 CONCOURSE VILLAGE WEST,BRONX,NY,10451
